plant,recording_date,min_width,avg_width,max_width,min_height,avg_height,max_height,min_biomass,avg_biomass,max_biomass,avg_solidity,avg_convex_hull_area,avg_longest_path,avg_center_of_mass_x,avg_center_of_mass_y
-,dd/mm/yyyy,mm,mm,mm,mm,mm,mm,cm2,cm2,cm2,-,cm2,mm,pixels,pixels
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-17,258.8131581663,274.9969,317.7841,279.95597911863337,277.59681666666665,364.4340333333333,301.2822188434,279.4539,406.0327,1303.7664277704848,3035.459057017208,769.895496617075,2644.9323666666664,0.3647925027949306
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-20,434.5852880579,400.6843,430.1005,460.57546324705,403.9527666666667,527.2631,484.9426802729,405.587,610.6089999999998,1303.526940467087,2856.0820021412696,1510.1428716420578,3667.44245,0.3084902804322354
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-23,618.9688299909999,496.0641,456.3968,662.6499775379167,497.9211833333334,546.5767666666667,717.5302647894,501.4125,637.7967,1308.852398326396,2724.581557779618,1930.9768835201164,3936.1995499999994,0.3472227292306951
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-10-26,787.8895734624998,537.9599,312.8814,834.1634148847332,545.0168166666666,345.04608333333334,871.5623039353999,549.1024,365.9197,1303.3359433336652,2926.419855848282,1245.2727554752498,4066.938216666667,0.6702419336937903
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-01,992.6067748319999,714.0114,583.4213,1087.08697640335,719.9540666666666,647.1564,1159.5132226149,724.2624999999998,703.7603,1306.2205214770731,2590.5678818034016,3426.6828106110165,5097.3223333333335,0.3176013222069771
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-04,1190.4129952344001,788.8889999999999,595.4552,1309.6549297327397,789.24556,654.10932,1458.7990241337998,789.7804,731.8394,1306.3882461413723,2506.626464312684,3768.5048822127997,5320.1426200000005,0.3474337101880188
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-07,1445.1181026275,718.9141,529.9372999999998,1561.58332853262,719.8054999999999,567.6435199999999,1661.6231053935999,720.6969,629.7741,1300.528260670199,2623.1146225496423,2991.4633041407096,5286.71512,0.5229065165133264
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-08,1412.7681960310001,898.9769,662.7559,1606.4670278218334,905.5138333333334,706.1373666666665,1742.2525409997,913.685,740.3077,1305.9846967608153,2432.5526708652906,4670.359425469117,6779.542699999999,0.34385633096793017
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-12,223.7854699246,1021.0987,688.6065,1587.1918337563166,1028.6756,801.5171666666666,1960.2136371975,1035.8068,1188.2362,1394.8935695530463,2196.513103375222,6195.394477785249,7659.651633333332,0.30993597793033595
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-16,1821.8629098520998,1124.9468,611.5004,1956.0519513319998,1132.5237,697.7433499999999,2131.1109331444995,1142.7748,760.8099,1299.4942362587954,2350.8131183012115,5347.551300177075,8183.497699999999,0.3687828769637618
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-19,1946.5426481157,1233.6976,669.8871,2070.7552313469837,1235.7775333333332,711.1886333333333,2197.7217448113,1239.4917,758.1356999999998,1297.504047791386,2293.694148453084,5823.333636414442,8913.480016666666,0.35589458015157605
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-23,2184.3368095550995,1309.0209,613.7289,2307.5684003266,1316.2263833333334,700.41755,2395.4703571516,1324.6204,759.4728,1300.9003059952693,2231.6060215534567,6223.270820386951,9477.661933333335,0.37232409789638016
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-26,2245.7330983594,1277.3762,641.3623,2351.842513616167,1290.97005,684.8923333333332,2474.3894292588,1304.1182,717.1313,1301.6255320274383,2252.0621253797267,6321.823481543707,9299.75335,0.37250599357585323
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-11-29,2368.7223379731,1321.5005,642.2537,2473.656085249883,1339.6256333333333,693.0634999999999,2622.5096893423997,1355.3737,757.2443,1302.3264526080409,2200.371589604981,6645.5074561448155,9631.725566666668,0.3724323481806806
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-12-06,2045.1875152798998,845.4929,598.5751,2236.7667676824335,855.744,662.9044666666666,2385.3730544049,865.1037,707.3258999999998,1303.7925706406147,2442.2781809636817,4404.6334653912245,6470.078333333334,0.5091160320323171
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-12-09,2173.3912777561,870.4521,598.1294,2294.5387147866836,873.3491499999999,670.4070833333332,2389.9856723426997,876.2461999999998,716.6856,1303.9599762453515,2426.6738765911496,4484.476584057741,6493.031883333333,0.5138133711515641
NPEC51.VTC3.AP27.Merlice.Mer_bo.0,2021-12-18,2229.9067731611,852.6241,603.0321,2351.3796626344665,857.1553833333334,663.4987333333332,2480.1244111651,862.4295,747.4389,1298.0606801259771,2414.410594202391,4308.6975014689915,6376.1842,0.547613220539454
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-03,16.610986733799994,89.5857,246.0264,21.00078728198333,97.75686666666667,270.0942,25.566060663000002,106.5223,282.5738,1305.9068056976737,3293.2964602591433,86.73704897155834,1742.0184500000003,0.24326840047010223
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-09,46.4758007204,160.00629999999995,246.9178,55.820556770816665,164.61186666666666,270.5399,65.6612718846,168.0289,283.4652,1305.042661009677,3241.926927952043,261.11499754417497,1878.1055166666665,0.21442929225890262
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-11,75.40100734929999,192.9881,246.0264,85.67212752475,196.77655000000001,273.8083666666667,95.8320045458,200.565,293.7163,1307.9596884635819,3199.6790969545696,390.1499384106167,2134.9772833333336,0.22222272507001664
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-15,176.1475755377,272.7684,317.7841,185.63966255153332,279.0824833333333,367.7767833333333,204.25236390290002,284.8023,437.2317,1304.116262261903,3074.389724400833,786.2407909954999,2741.5007,0.23929176233807023
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-17,268.93628521669996,291.0421,365.9197,318.4226038030499,296.91048333333333,403.3585,366.24027507339997,300.8475,463.9737,1299.4509986181758,3011.0263342770736,890.6486163950084,2832.4234999999994,0.35908303600146857
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-20,470.3738000162999,422.0779,456.3968,500.97129585018325,425.7920666666667,517.7548333333333,556.6766364968,430.1005,579.41,1309.582194065161,2857.7384706055186,1676.3318672952416,3576.1482333333333,0.29912175292734516
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-23,698.3447936251999,543.3083,555.7879,743.8151019053834,547.8395833333333,589.88395,779.6436746426,552.2223,625.7628,1303.0289734625587,2751.5937990461703,2448.804000368025,4249.52665,0.3042273068357735
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-10-27,866.8006996301,558.4621,366.8111,903.8608930053166,560.6905999999999,378.62215,945.0721776599,562.4734,390.8789,1303.8857606613553,2883.690711156183,1619.9330778781166,4175.09475,0.5580093826029554
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-11-01,985.9341720529,693.0635,590.5525,1084.9740186313834,694.4005999999999,684.5209166666667,1182.4312989062,695.7377,767.0497,1312.0509774601626,2657.9126417328757,3639.0029518544493,5284.962033333332,0.2997990916308748
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-11-04,1275.8775350871001,730.5023,553.5594,1386.1678388967332,730.8737166666666,653.8418999999999,1561.7188068028,731.3937,715.7941999999998,1309.5481514927799,2611.7167053552125,3667.8061552024083,5482.5557,0.38286191961159544
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-11-07,1451.8026243159998,667.6586,495.1727,1488.1351020561833,670.9270666666666,510.6979166666666,1535.9243003763002,673.8983999999998,519.2405,1306.1952993261943,2694.5445355062457,2646.3953493204076,5211.272966666666,0.5630792860597033
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-11-08,1510.2092533457999,864.2123,658.2989,1590.5986553598166,872.0120499999998,706.2116499999998,1717.0857638016,880.2574999999998,764.3755,1308.5956518466235,2539.976512868558,4662.929475321892,6555.652733333332,0.3420029668087127
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-11-13,1632.2588856017999,1007.282,652.0591,1757.7461299772497,1026.0756833333332,742.9818999999999,1871.2250731322001,1046.5036,808.4997999999998,1300.2607017956182,2426.4381181768576,5840.580629397057,7653.708966666666,0.30376691840713793
NPEC51.VTC3.AP29.Brioso.Bri_boh6.0,2021-11-16,1997.3688507671,1075.0284,552.2223,2170.536367873983,1077.3311833333335,594.0438166666667,2410.9788447659,1080.8225,646.265,1300.2457318875076,2403.4332023535208,4911.464560615591,7783.779083333334,0.44219028196541593
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-09-29,4.084212954399999,38.7759,246.4721,6.243190959883332,40.18728333333333,270.6884666666667,7.945939599999999,41.4501,283.4652,1306.0248390575018,3307.586676518165,15.576855802941665,1796.4681333333335,0.4351899076045114
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-03,12.079814676899998,53.9297,246.0264,15.4290282183,57.64386666666667,270.9856,18.4961609039,60.1695,283.9109,1305.4437076008498,3303.4745882758903,35.151843547949994,1770.0232666666664,0.4404916887526398
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-09,42.4571417677,91.3685,246.0264,60.84272167883332,103.25383333333332,271.05988333333335,76.67434417019999,116.3277,284.3566,1304.4446815088393,3271.7027191784887,120.72332250443333,1777.6744499999998,0.5040918573146239
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-11,67.0259870109,137.7213,246.0264,90.19793607241999,147.34841999999998,277.31454,107.14702253619998,152.8751,294.6077,1306.370986150503,3232.8055425190546,255.43553789082998,2013.13776,0.35406831121885196
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-15,191.1932121703,161.7891,312.4357,218.39712963335,169.66313333333332,331.5265166666667,245.62289843029998,180.5085,350.7659,1301.8785043584674,3174.876680344872,424.15326260555,2426.7622166666665,0.5141706239351577
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-17,279.2083986346,169.8117,349.8745,325.0859363192833,191.57671666666667,394.8159166666667,352.53948871809996,201.9021,440.3516,1302.9935206197808,3165.94632672423,550.7190027412917,2730.2839166666663,0.5914290104794674
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-20,439.0548790829,276.7797,418.0666,515.4454869932166,282.7223666666667,476.3790166666667,565.0754946540001,288.3679,529.0459,1306.066025757401,3103.8220855759696,905.2421621724498,3246.627366666666,0.5697874532366721
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-23,607.2207582923999,314.2185,463.0823,707.2558338057834,317.48696666666666,499.4811333333334,762.9115123299,321.3497,518.7948,1306.450868403807,3031.577220582951,1112.5586790336,3379.07455,0.6355463802162574
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-10-26,683.9686024039,386.8676,434.1118,760.2115482699833,390.2103499999999,441.76298333333335,827.7106497678999,393.1074,449.2656,1304.9201215675077,2995.6675385889152,1178.0742753588665,3207.628616666667,0.6447778137717616
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-01,892.7461789089998,580.3014,373.9423,939.80600619,582.4556166666666,389.3932333333334,969.5973202353,583.867,406.4784,1307.6394236387184,2829.0148780334807,1712.822932746608,4324.924233333332,0.5486283533940495
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-03,1052.9641320336,619.523,402.4671,1091.985317085933,627.6198833333333,423.415,1159.3384119436998,631.1111999999998,441.6887,1307.8184821922007,2790.38316280169,2043.1010439732665,4689.358266666666,0.5347003939029786
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-06,994.8356108897999,705.5431,385.5305,1108.59464841565,706.3602166666666,429.13481666666667,1205.4566453821,707.7715999999998,459.5167,1306.4903961643577,2688.973025662752,2378.9123433484665,5258.8885833333325,0.46774237034867155
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-07,1107.5626695101,733.1764999999998,392.6617,1218.3353580696164,733.6221999999998,444.66003333333333,1324.0180101537,734.0679,485.81300000000005,1306.7977952816188,2657.570998593177,2527.5348530309498,5530.91415,0.48409280049311504
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-08,1220.5678360164,758.5814,407.8155,1311.9199860318834,759.7699333333334,467.76215,1400.4341112869001,760.8099,509.4351,1306.3784600870827,2642.0676380856826,2720.7819250474417,5710.679816666667,0.4839518113655313
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-12,1426.3815770507001,881.1489,463.9737,1554.0052859361,885.38305,523.9946333333334,1657.6441761389,889.1714999999998,582.5299,1306.1576194379356,2595.8516788955153,3259.73530880685,6450.690383333334,0.47792144294707056
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-16,1457.3846468849995,962.2663,471.5506,1616.382567200183,967.8375499999999,527.4116666666667,1722.9697320754,972.5174,623.5343,1306.4745881757601,2558.951628129792,3576.396562665233,7021.186383333333,0.455569511990278
NPEC51.VTC3.AP3.Moneymaker.Mon_bo.0,2021-11-19,1638.5937859478995,999.7051,478.2361,1773.8439414452166,1004.83065,537.29135,1858.0109755774,1012.1847,629.7741,1303.2266641947938,2499.644107956875,3794.2758819013166,7369.352366666666,0.47061174686911705
